SourceTitle,link,TargetTitle
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.edelman.com/trust/2008/,Edelman Trust Barometer report
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.slideshare.net/slides_eoi/edelman-trust-barometer-2010,2010 Trust Report
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1016%2Fj.bushor.2009.09.003,10.1016/j.bushor.2009.09.003
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1016%2Fj.bushor.2011.01.005,10.1016/j.bushor.2011.01.005
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.thesocialmediaguys.co.uk/wp-content/uploads/downloads/2011/03/CompleteGuidetoSocialMedia.pdf,"""Social Media"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://blog.nielsen.com/nielsenwire/social/2012/,"""State of the media: The social media report 2012"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.2753%2Fmis0742-1222290203,10.2753/mis0742-1222290203
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.nielsen.com/us/en/insights/reports/2014/the-us-digital-consumer-report.html,"""The U.S. Digital Consumer Report"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.sciencedirect.com/science/article/pii/S0007681311001558,"""If you love something, let it go mobile: Mobile marketing and mobile social media 4x4"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1016%2Fj.bushor.2011.10.009,10.1016/j.bushor.2011.10.009
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.forbes.com/sites/gyro/2012/12/24/10-e-commerce-predictions-for-2013/,"""gyroVoice: 10 E-Commerce Predictions For 2013"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.nielsen.com/us/en/insights/reports/2014/the-us-digital-consumer-report.html,"""The U.S. Digital Consumer Report"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.cluetrain.com/book/markets.html,
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://watsonnowlin.com/top-social-tools/,"""Social Media Tools"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.isentia.com/en-nz/blog/outbreaks-of-sentimentitis-riding-the-social-media-tiger,"""Outbreaks of sentimentitis – riding the social media tiger"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://mprcenter.org/blog/2010/08/04/research-survey-launched-social-media-and-influence-of-photos-on-body-image/,"""Research Survey"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://nathalielussier.com/blog/business-branding/social-media-vs-trust,"""Inc. Technology Brent Leary Article"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://technology.inc.com/internet/articles/201003/leary.html,the original
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.edelman.com/trust/2010/,"""Edelman 2010 Trust Barometer Study"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dmml.asu.edu/smm,"""Social Media Mining: An Introduction"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.csa.com/discoveryguides/social_media/review.pdf,"""The Emerging Role of Social Media in Regime Change"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://stateofthemedia.org/print-chapter/?print_id=5546,http://stateofthemedia.org/print-chapter/?print_id=5546
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.cnn.com/2010/TECH/03/01/social.network.news/index.html,Survey: More Americans get news from Internet than newspapers or radio
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.poynter.org/latest-news/mediawire/189776/one-third-of-adults-under-30-get-news-on-social-networks-now/,http://www.poynter.org/latest-news/mediawire/189776/one-third-of-adults-under-30-get-news-on-social-networks-now/
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.poynter.org/latest-news/mediawire/189819/pew-tv-viewing-habit-grays-as-digital-news-consumption-tops-print-radio/,http://www.poynter.org/latest-news/mediawire/189819/pew-tv-viewing-habit-grays-as-digital-news-consumption-tops-print-radio/
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.losangelesnews.net/index.php/sid/225040619,"""Development of social skills in children hampered by digital media says study"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://sites.ewu.edu/cmst496-stafford/2012/06/06/the-effects-of-social-media-on-children/,http://sites.ewu.edu/cmst496-stafford/2012/06/06/the-effects-of-social-media-on-children/
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.nielsen.com/us/en/insights/reports/2014/the-us-digital-consumer-report.html,"""The U.S. Digital Consumer Report"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.tandfonline.com/doi/abs/10.1080/1461670X.2014.891857,http://www.tandfonline.com/doi/abs/10.1080/1461670X.2014.891857
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://stateofthemedia.org/2012/mobile-devices-and-news-consumption-some-good-signs-for-journalism/what-facebook-and-twitter-mean-for-news/,http://stateofthemedia.org/2012/mobile-devices-and-news-consumption-some-good-signs-for-journalism/what-facebook-and-twitter-mean-for-news/
"<title>Social media - Wikipedia, the free encyclopedia</title>",https://reutersinstitute.politics.ox.ac.uk/fileadmin/documents/Publications/Working_Papers/Digital_News_Report_2013.pdf,https://reutersinstitute.politics.ox.ac.uk/fileadmin/documents/Publications/Working_Papers/Digital_News_Report_2013.pdf
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.wired.com/threatlevel/2011/01/tunisia/,"""Tweeting Tyrants Out of Tunisia: Global Internet at Its Best"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.nytimes.com/2011/02/10/world/middleeast/10youth.html?_r=1,"""Wired and Shrewd, Young Egyptians Guide Revolt"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.miller-mccune.com/politics/the-cascading-effects-of-the-arab-spring-28575/,"""The Arab Uprising's Cascading Effects"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.foreignaffairs.com/articles/67325/malcolm-gladwell-and-clay-shirky/from-innovation-to-revolution,"""Malcolm Gladwell and Clay Shirky on Social Media and Revolution, Foreign Affairs March/April 2011"""
